rental_id,duration,bike_id,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist
50676917,1080,5457,2016-01-05 23:52:00 UTC,219,"Bramham Gardens, Earl's Court",2016-01-05 23:34:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.19039362,51.49016361,2930.934769
50710292,3840,11700,2016-01-07 17:06:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-07 16:02:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50655987,360,12977,2016-01-05 08:10:00 UTC,389,"Upper Grosvenor Street, Mayfair",2016-01-05 08:04:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.155757901,51.51013066,794.9956403
50677829,420,5499,2016-01-06 07:02:00 UTC,349,"St. George Street, Mayfair",2016-01-06 06:55:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.142783033,51.51196,1232.455692
50731133,3060,4188,2016-01-08 14:20:00 UTC,248,"Triangle Car Park, Hyde Park",2016-01-08 13:29:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.170279555,51.50645179,1217.716526
50749648,1920,1103,2016-01-09 15:17:00 UTC,307,"Black Lion Gate, Kensington Gardens",2016-01-09 14:45:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.187842717,51.50990837,2492.548463
50756106,3000,9391,2016-01-10 11:02:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-10 10:12:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50761805,2220,2692,2016-01-10 14:48:00 UTC,404,"Palace Gate, Kensington Gardens",2016-01-10 14:11:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.184400221,51.50204238,2140.704744
50767910,1200,8498,2016-01-10 19:36:00 UTC,192,"Wardour Street, Soho",2016-01-10 19:16:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.133201961,51.51251523,1751.973528
50666059,2220,436,2016-01-05 16:01:00 UTC,350,"Queen's Gate, Kensington Gardens",2016-01-05 15:24:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.179854184,51.50171544,1829.366014
50759675,1440,1879,2016-01-10 13:25:00 UTC,48,"Godliman Street, St. Paul's",2016-01-10 13:01:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.099141408,51.51248445,3904.990202
50729037,3480,4418,2016-01-08 11:39:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-08 10:41:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50731067,2340,4141,2016-01-08 14:02:00 UTC,153,"Bayswater Road, Hyde Park",2016-01-08 13:23:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.174411,51.511933,1746.726826
50648502,840,12907,2016-01-04 18:30:00 UTC,233,"Pall Mall East, West End",2016-01-04 18:16:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.130699733,51.50777049,1662.071439
50689969,1440,4397,2016-01-06 15:44:00 UTC,325,"St. Martin's Street, West End",2016-01-06 15:20:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.129697889,51.50908747,1777.419755
50700583,900,12092,2016-01-06 22:25:00 UTC,261,"Princes Square, Bayswater",2016-01-06 22:10:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.191351186,51.5134891,2860.881406
50766560,840,2860,2016-01-10 17:43:00 UTC,261,"Princes Square, Bayswater",2016-01-10 17:29:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.191351186,51.5134891,2860.881406
50760746,1920,6065,2016-01-10 14:07:00 UTC,300,"Serpentine Car Park, Hyde Park",2016-01-10 13:35:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.17306032,51.505014,1368.741145
50709619,2760,11974,2016-01-07 16:02:00 UTC,307,"Black Lion Gate, Kensington Gardens",2016-01-07 15:16:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.187842717,51.50990837,2492.548463
50759677,1440,9349,2016-01-10 13:25:00 UTC,48,"Godliman Street, St. Paul's",2016-01-10 13:01:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.099141408,51.51248445,3904.990202
50756880,3840,8472,2016-01-10 12:07:00 UTC,191,"Hyde Park Corner, Hyde Park",2016-01-10 11:03:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.153520935,51.50311799,0
50757604,1980,7624,2016-01-10 12:16:00 UTC,303,"Albert Gate, Hyde Park",2016-01-10 11:43:00 UTC,191,"Hyde Park Corner, Hyde Park",,,,-0.153520935,51.50311799,-0.158456089,51.50295379,342.0790639
